symbol,name,sector,subsector,status,instrument_type,board,listing_date,special_notation,source_as_of
MGLV,NexAI Digital Infrastruktur Tb,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Akselerasi,08 Jun 2021,,2026-08-27
TRUE,Triniti Dinamik Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Pengembangan,10 Jun 2021,,2026-08-27
LABA,Green Power Group Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Pengembangan,10 Jun 2021,,2026-08-27
ARCI,Archi Indonesia Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Pengembangan,28 Jun 2021,,2026-08-27
IPAC,Era Graharealty Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Akselerasi,30 Jun 2021,,2026-08-27
MASB,Bank Multiarta Sentosa Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Utama,30 Jun 2021,,2026-08-27
BMHS,Bundamedik Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Utama,06 Jul 2021,,2026-08-27
FLMC,Falmaco Nonwoven Industri Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Akselerasi,08 Jul 2021,,2026-08-27
NICL,PAM Mineral Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Pengembangan,09 Jul 2021,,2026-08-27
UVCR,Trimegah Karya Pratama Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Pengembangan,27 Jul 2021,,2026-08-27
BUKA,Bukalapak.com Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Ekonomi Baru,06 Agt 2021,,2026-08-27
HAIS,Hasnur Internasional Shipping,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Pengembangan,01 Sep 2021,,2026-08-27
OILS,Indo Oil Perkasa Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Pengembangan,06 Sep 2021,,2026-08-27
GPSO,Geoprima Solusi Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Pengembangan,06 Sep 2021,,2026-08-27
MCOL,Prima Andalan Mandiri Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Utama,07 Sep 2021,,2026-08-27
RSGK,Kedoya Adyaraya Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Pengembangan,08 Sep 2021,,2026-08-27
RUNS,Global Sukses Solusi Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Akselerasi,08 Sep 2021,,2026-08-27
SBMA,Surya Biru Murni Acetylene Tbk,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Pengembangan,08 Sep 2021,,2026-08-27
CMNT,Cemindo Gemilang Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Pengembangan,08 Sep 2021,,2026-08-27
GTSI,GTS Internasional Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Pengembangan,08 Sep 2021,,2026-08-27
IDEA,Idea Indonesia Akademi Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Akselerasi,09 Sep 2021,,2026-08-27
KUAS,Ace Oldfields Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Pengembangan,25 Okt 2021,,2026-08-27
BOBA,Formosa Ingredient Factory Tbk,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Pengembangan,01 Nov 2021,,2026-08-27
MTEL,Dayamitra Telekomunikasi Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Utama,22 Nov 2021,,2026-08-27
DEPO,Caturkarda Depo Bangunan Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Pengembangan,25 Nov 2021,,2026-08-27
BINO,Perma Plasindo Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Pengembangan,25 Nov 2021,,2026-08-27
CMRY,Cisarua Mountain Dairy Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Utama,06 Des 2021,,2026-08-27
WGSH,Wira Global Solusi Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Akselerasi,06 Des 2021,,2026-08-27
TAYS,Jaya Swarasa Agung Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Pengembangan,06 Des 2021,,2026-08-27
WMPP,Widodo Makmur Perkasa Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Pemantauan Khusus,06 Des 2021,,2026-08-27
RMKE,RMK Energy Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Utama,07 Des 2021,,2026-08-27
OBMD,OBM Drilchem Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Pengembangan,08 Des 2021,,2026-08-27
AVIA,Avia Avian Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Utama,08 Des 2021,,2026-08-27
IPPE,Indo Pureco Pratama Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Pemantauan Khusus,09 Des 2021,,2026-08-27
NASI,Wahana Inti Makmur Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Pengembangan,13 Des 2021,,2026-08-27
BSML,Bintang Samudera Mandiri Lines,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Pengembangan,16 Des 2021,,2026-08-27
DRMA,Dharma Polimetal Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Utama,20 Des 2021,,2026-08-27
ADMR,Alamtri Minerals Indonesia Tbk,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Utama,03 Jan 2022,,2026-08-27
SEMA,Semacom Integrated Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Pengembangan,10 Jan 2022,,2026-08-27
ASLC,Autopedia Sukses Lestari Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Pengembangan,25 Jan 2022,,2026-08-27
NETV,MDTV Media Technologies Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Pengembangan,26 Jan 2022,,2026-08-27
BAUT,Mitra Angkasa Sejahtera Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Pemantauan Khusus,28 Jan 2022,,2026-08-27
ENAK,Champ Resto Indonesia Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Pengembangan,08 Feb 2022,,2026-08-27
